HOSTNAMES, CPUS, MEMORY, TMP_DISK, GRES
r3i0n7, 36, 85248, 900000, (null)
r3i0n8, 36, 85248, 900000, (null)
r3i0n9, 36, 85248, 900000, (null)
r3i0n10, 36, 85248, 900000, (null)
r3i0n11, 36, 85248, 900000, (null)
r3i0n12, 36, 85248, 900000, (null)
r3i0n13, 36, 85248, 900000, (null)
r3i0n14, 36, 85248, 900000, (null)
r3i0n15, 36, 85248, 900000, (null)
r3i0n16, 36, 85248, 900000, (null)
r3i0n17, 36, 85248, 900000, (null)
r3i0n18, 36, 85248, 900000, (null)
r3i0n19, 36, 85248, 900000, (null)
r3i0n20, 36, 85248, 900000, (null)
r3i0n21, 36, 85248, 900000, (null)
r3i0n22, 36, 85248, 900000, (null)
r3i0n23, 36, 85248, 900000, (null)
r3i0n24, 36, 85248, 900000, (null)
r3i0n25, 36, 85248, 900000, (null)
r3i0n26, 36, 85248, 900000, (null)
r3i0n27, 36, 85248, 900000, (null)
r3i0n28, 36, 85248, 900000, (null)
r3i0n29, 36, 85248, 900000, (null)
r3i0n30, 36, 85248, 900000, (null)
r3i0n31, 36, 85248, 900000, (null)
r3i0n32, 36, 85248, 900000, (null)
r3i0n33, 36, 85248, 900000, (null)
r3i0n34, 36, 85248, 900000, (null)
r3i0n35, 36, 85248, 900000, (null)
r3i1n0, 36, 85248, 900000, (null)
r3i1n1, 36, 85248, 900000, (null)
r3i1n2, 36, 85248, 900000, (null)
r3i1n3, 36, 85248, 900000, (null)
r3i1n4, 36, 85248, 900000, (null)
r3i1n5, 36, 85248, 900000, (null)
r3i1n6, 36, 85248, 900000, (null)
r3i1n7, 36, 85248, 900000, (null)
r3i1n8, 36, 85248, 900000, (null)
r3i1n9, 36, 85248, 900000, (null)
r3i1n10, 36, 85248, 900000, (null)
r3i1n11, 36, 85248, 900000, (null)
r3i1n12, 36, 85248, 900000, (null)
r3i1n13, 36, 85248, 900000, (null)
r3i1n14, 36, 85248, 900000, (null)
r3i1n15, 36, 85248, 900000, (null)
r3i1n16, 36, 85248, 900000, (null)
r3i1n17, 36, 85248, 900000, (null)
r3i1n18, 36, 85248, 900000, (null)
r3i1n19, 36, 85248, 900000, (null)
r3i1n20, 36, 85248, 900000, (null)
r3i1n21, 36, 85248, 900000, (null)
r3i1n22, 36, 85248, 900000, (null)
r3i1n23, 36, 85248, 900000, (null)
r3i1n24, 36, 85248, 900000, (null)
r3i1n25, 36, 85248, 900000, (null)
r3i1n26, 36, 85248, 900000, (null)
r3i1n27, 36, 85248, 900000, (null)
r3i1n28, 36, 85248, 900000, (null)
r3i1n29, 36, 85248, 900000, (null)
