run_id,params,depth,epochs,batch_size,target,family,source_dataset,is_gpu,n_observations,n_features,n_classes,task_encoded,imbalance,power,duration,shape_exponential,shape_rectangle,shape_rectangle_residual,shape_trapezoid,shape_wide_first_16x,shape_wide_first_2x,shape_wide_first_4x,shape_wide_first_8x,group_key
de1ebcad-8fa8-47bd-b672-2b09fc3dd299,32768,5,3000,256,498648.3010219998,MLP,BUTTER-E,1,6435.0,36.0,6.0,0.0,0.0276087321122286,425.7505676137175,1171.221694,1,0,0,0,0,0,0,0,32768|5|1|6435.0|exponential
de20140c-7bf9-496c-ad6e-3f7ee4032020,32768,18,3000,256,506015.621627,MLP,BUTTER-E,1,6435.0,36.0,6.0,0.0,0.0276087321122286,424.845347572897,1191.058404,1,0,0,0,0,0,0,0,32768|18|1|6435.0|exponential
de2a3352-8347-4aa6-aee9-2c8692279157,2048,9,3000,256,673267.763326,MLP,BUTTER-E,1,15000.0,48.0,11.0,0.0,0.3746815528888889,421.2501161549732,1598.261312,0,0,0,0,0,1,0,0,2048|9|1|15000.0|wide_first_2x
de30f6e1-08ea-462d-943e-ff7c6afa97bf,2048,5,3000,256,634639.6387289999,MLP,BUTTER-E,1,15000.0,48.0,11.0,0.0,0.3746815528888889,413.7058615730376,1534.035888,0,0,0,0,0,1,0,0,2048|5|1|15000.0|wide_first_2x
de3198a4-2f68-49c6-8996-f6899f16bd5c,2097152,8,3000,256,2447760.117296,MLP,BUTTER-E,1,70000.0,784.0,10.0,1.0,0.0003254145124716,431.18510133886593,5676.819792,1,0,0,0,0,0,0,0,2097152|8|1|70000.0|exponential
de3b2c1b-0148-4506-b38b-a6df4f35dc16,1048576,4,3000,256,809726.760396,MLP,BUTTER-E,1,20640.0,8.0,3842.0,0.0,0.0025041112046606,434.4664888836896,1863.726619,0,0,1,0,0,0,0,0,1048576|4|1|20640.0|rectangle_residual
de3d1492-2d93-4527-a3be-a8bf3ad0e586,8192,5,3000,256,639046.148391,MLP,BUTTER-E,1,15000.0,48.0,11.0,0.0,0.3746815528888889,418.5990334233616,1526.6307310000002,0,0,0,1,0,0,0,0,8192|5|1|15000.0|trapezoid
de4469bc-1dbf-4df7-921c-725f93a22c9f,65536,7,3000,256,416363.48905499966,MLP,BUTTER-E,1,5300.0,2.0,2.0,1.0,0.0106907796368814,425.64422292227016,978.19603,0,0,0,0,0,0,0,1,65536|7|1|5300.0|wide_first_8x
de4bf72b-05cc-4ce3-91b3-691650c32875,131072,2,3000,256,523178.11446399975,MLP,BUTTER-E,1,6435.0,36.0,6.0,0.0,0.0276087321122286,424.5369096018275,1232.3501270000002,0,1,0,0,0,0,0,0,131072|2|1|6435.0|rectangle
de503aaa-094d-47e7-8c6f-6d9c8577feeb,16777216,6,3000,256,821813.8812719998,MLP,BUTTER-E,1,6435.0,36.0,6.0,0.0,0.0276087321122286,468.1036377823922,1755.6237870000002,0,1,0,0,0,0,0,0,16777216|6|1|6435.0|rectangle
de5259dc-67bc-4e17-90f3-81d9183dcae4,256,8,3000,256,668689.5799559999,MLP,BUTTER-E,1,15000.0,48.0,11.0,0.0,0.3746815528888889,422.9605865426712,1580.973739,0,0,1,0,0,0,0,0,256|8|1|15000.0|rectangle_residual
de5e4cff-1e31-475c-9586-d7f0829a9ab4,262144,14,3000,256,434593.840495,MLP,BUTTER-E,1,5300.0,2.0,2.0,1.0,0.0106907796368814,421.8137650060845,1030.29791,0,0,0,0,0,0,1,0,262144|14|1|5300.0|wide_first_4x
de65c219-3ab1-410a-bc5b-9ca2c48b724c,1024,8,3000,256,765018.199248,MLP,BUTTER-E,1,20640.0,8.0,3842.0,0.0,0.0025041112046606,408.00000000000006,1875.044606,0,0,0,0,0,1,0,0,1024|8|1|20640.0|wide_first_2x
de718393-7f3d-4e45-b93d-6106eb7bf1df,8192,2,3000,256,374504.149975,MLP,BUTTER-E,1,3848.0,4.0,3784.0,0.0,4.250269277695601e-06,425.5745081114909,879.9966700000001,0,1,0,0,0,0,0,0,8192|2|1|3848.0|rectangle
de7805aa-2f24-4df4-b993-0d6e53332cde,16777216,7,3000,256,628331.0981939996,MLP,BUTTER-E,1,3848.0,4.0,3784.0,0.0,4.250269277695601e-06,457.5463481042793,1373.2621860000002,0,0,0,1,0,0,0,0,16777216|7|1|3848.0|trapezoid
de7b5c08-79e0-44a2-a353-e86ee6ae2f76,32768,8,3000,256,366683.6376699999,MLP,BUTTER-E,1,3188.0,60.0,3.0,1.0,0.0776763041770503,425.49658295912445,861.7781020000001,0,0,0,0,0,1,0,0,32768|8|1|3188.0|wide_first_2x
de7c72ef-5983-4579-b98e-840c3a30b6a8,65536,12,3000,256,643793.0823159998,MLP,BUTTER-E,1,12958.0,8.0,4.0,1.0,0.0900899366400157,421.8082010084358,1526.269714,0,1,0,0,0,0,0,0,65536|12|1|12958.0|rectangle
